/* Sentinel-3A 
  Column 1: OLCI Band wavelength centre [nm]
  Column 2: Mean OLCI Top-of-atmosphere radiance [mW m-2 sr-1 nm-1]
  Column 3: Mean absolute error of OLCI Top-of-atmosphere radiance
  Column 4: OLCI Top-of-atmosphere radiance at center pixel (5) [mW m-2 sr-1 nm-1]
  Column 5-12: OLCI Top-of-atmosphere radiance (pixels 1-4, 6-9) [mW m-2 sr-1 nm-1]
 
  
  */
  
400	   77.67	   1.002	   77.6	   77.86	   77.88	   77.65	   77.96	   77.49	   77.81	   77.71	   77.08
412	   83.32	   1.002	   83.43	   83.31	   83.59	   83.32	   83.55	   83.11	   83.32	   83.19	   83.03
443	   85.14	   1.003	   85.15	   85.41	   85.61	   85.1	   85.16	   85.06	   85.44	   84.64	   84.71
490	   84.19	   1.003	   84.16	   84.42	   84.57	   84.09	   84.06	   84.26	   84.64	   83.92	   83.62
510	   81.79	   1.003	   81.88	   81.81	   82.19	   81.72	   81.51	   81.6	   82.19	   81.96	   81.26
560	   73.59	   1.004	   73.42	   73.93	   73.96	   73.7	   73.74	   73.27	   73.86	   73.42	   73.01
620	   31.72	   1.009	   31.79	   32.27	   31.89	   31.83	   32.05	   31.36	   31.79	   31.34	   31.21
665	   22.46	   1.012	   22.47	   23.01	   22.64	   22.33	   22.78	   22.16	   22.59	   22.15	   22.04
674	   20.96	   1.014	   21.01	   21.62	   21.03	   20.89	   21.31	   20.54	   21.2	   20.57	   20.53
681	   20.07	   1.014	   20.07	   20.65	   20.28	   20.02	   20.36	   19.65	   20.27	   19.78	   19.59
709	   13.91	   1.019	   13.94	   14.44	   14	   13.79	   14.25	   13.65	   14.1	   13.58	   13.43
754	   7.613	   1.033	   7.74	   8.107	   7.718	   7.56	   7.862	   7.3	   7.776	   7.293	   7.207
762	   2.824	   1.022	   2.819	   2.886	   2.871	   2.834	   2.924	   2.811	   2.879	   2.744	   2.654
765	   4.281	   1.027	   4.378	   4.464	   4.378	   4.213	   4.395	   4.187	   4.317	   4.179	   4.04
768	   6.604	   1.031	   6.759	   7.054	   6.601	   6.527	   6.774	   6.374	   6.743	   6.337	   6.306
779	   6.61	   1.032	   6.655	   7.005	   6.692	   6.533	   6.899	   6.342	   6.75	   6.406	   6.247
865	   3.987	   1.05	   4.028	   4.383	   4.097	   3.89	   4.225	   3.786	   4.107	   3.757	   3.663
884	   3.563	   1.049	   3.597	   3.938	   3.613	   3.531	   3.789	   3.322	   3.668	   3.41	   3.256
899	   2.641	   1.052	   2.62	   2.922	   2.71	   2.615	   2.806	   2.479	   2.756	   2.464	   2.439
939	   1.23	   1.043	   1.234	   1.328	   1.266	   1.188	   1.292	   1.126	   1.266	   1.211	   1.172
1013	   2.556	   1.073	   2.557	   2.907	   2.693	   2.525	   2.784	   2.149	   2.687	   2.363	   2.428
