-0.1138 0.4191 -0.2477   0.2276 -0.8383 0.4954
-0.2276 0.8383 -0.4954   -0.2276 0.8383 -0.4954
-0.2105 0.8276 -0.5204   -0.2105 0.8276 -0.5204
0.005068 0.3164 -0.3871   -0.01014 -0.6328 0.7743
0.2861 -0.3501 -0.2134   -0.5722 0.7002 0.4269
0.5017 -0.8613 -0.08021   0.5017 -0.8613 -0.08021
0.5332 -0.8411 -0.09073   0.5332 -0.8411 -0.09073
0.4211 0.7091 -0.5655   0.4211 0.7091 -0.5655
0.3359 0.7629 -0.5524   0.3359 0.7629 -0.5524
-0.115 0.4054 -0.2691   0.2301 -0.8108 0.5382
-0.4862 0.1112 -0.03595   0.9723 -0.2224 0.07189
-0.9371 -0.2463 0.2473   -0.9371 -0.2463 0.2473
-0.907 -0.2625 0.3292   -0.907 -0.2625 0.3292
0.5269 0.3382 0.7797   0.5269 0.3382 0.7797
0.6213 0.2779 0.7326   0.6213 0.2779 0.7326
0.4843 -0.8632 -0.1427   0.4843 -0.8632 -0.1427
0.4524 -0.8714 -0.1897   0.4524 -0.8714 -0.1897
0.35 -0.3569 -0.01103   -0.6999 0.7139 0.02206
0.2022 0.385 0.2467   -0.4044 -0.7701 -0.4934
0.09971 0.8995 0.4254   0.09971 0.8995 0.4254
-0.3829 0.8245 0.4166   -0.3829 0.8245 0.4166
0.1498 0.6178 -0.772   0.1498 0.6178 -0.772
0.2625 0.5774 -0.7731   0.2625 0.5774 -0.7731
0.7889 0.4055 0.4617   0.7889 0.4055 0.4617
0.6559 0.2965 0.6942   0.6559 0.2965 0.6942
0.1187 0.03598 0.9923   0.1187 0.03598 0.9923
-0.1478 -0.01681 0.9889   -0.1478 -0.01681 0.9889
-0.9287 0.3626 -0.07745   -0.9287 0.3626 -0.07745
-0.9376 0.3173 -0.1422   -0.9376 0.3173 -0.1422
0.06354 -0.8797 0.4712   0.06354 -0.8797 0.4712
0.1278 -0.8653 0.4847   0.1278 -0.8653 0.4847
0.09877 -0.3595 0.3332   -0.1975 0.719 -0.6663
0.04991 0.4913 0.0782   -0.09981 -0.9826 -0.1564
0.02086 0.9971 -0.07335   0.02086 0.9971 -0.07335
-0.01803 0.9977 -0.06549   -0.01803 0.9977 -0.06549
-0.2135 0.4254 0.1533   0.4269 -0.8508 -0.3065
-0.3724 -0.04015 0.3312   0.7449 0.0803 -0.6624
-0.5679 -0.6125 0.5499   -0.5679 -0.6125 0.5499
-0.6722 -0.5815 0.4583   -0.6722 -0.5815 0.4583
-0.9925 -0.002605 -0.1224   -0.9925 -0.002605 -0.1224
-0.4466 -0.6226 -0.6426   -0.4466 -0.6226 -0.6426
-0.7278 -0.04318 0.6844   -0.7278 -0.04318 0.6844
-0.7407 -0.1434 0.6564   -0.7407 -0.1434 0.6564
-0.6955 -0.7097 0.1122   -0.6955 -0.7097 0.1122
-0.5874 -0.8093 -0.007171   -0.5874 -0.8093 -0.007171
