/*
Scattering Phase Functions [1/sr] at 532 nm from LISST-VSF (SN 1475), Percentiles and mean
Volume scattering function corrected and extrapolated to 180º following Koestner et al. 2018 

Dilution-corrected (if applicable) IOPs [1/m], Percentiles and mean;
bbp = 0.115160	0.122022	0.130227	0.139052	0.149701	0.131752
bp = 5.614733	5.872578	6.167578	6.620009	7.037706	6.264497
cp = 5.931232	6.276680	6.992079	7.734243	8.219468	7.023152

Lat, Lon = 70.237, -147.576
Date Time UTC = 09-Sep-2018 22:49:46
Depth = 4.9 m
SPM = 6.72 g/m3
POC/SPM = 0.02 

Created by Daniel Koestner on 15-Jan-2024 15:28:34
Data Version: V4_10-Nov-2023

Column 1: Angle [deg]
Column 2: 10th Percentile Data
Column 3: 25th Percentile Data
Column 4: 50th Percentile Data
Column 5: 75th Percentile Data
Column 6: 90th Percentile Data
Column 7: Mean Data
*/
 0.08357	    1748	    2061	    2287	    3335	    4400	    2916
 0.09861	    1547	    1797	    1981	    2818	    3657	    2477
  0.1164	    1326	    1506	    1644	    2250	    2848	    1997
  0.1373	    1092	    1200	    1292	    1664	    2025	    1504
  0.1621	   866.6	   912.5	   965.1	    1147	    1318	    1067
  0.1912	   670.2	   680.2	   704.9	   768.1	     823	   740.5
  0.2257	     511	   510.7	   518.1	     527	   530.5	   524.1
  0.2663	     396	   397.4	   396.1	   388.2	   377.9	   392.8
  0.3143	   317.1	   320.7	   316.4	   306.4	   296.2	   311.3
  0.3708	   264.1	   265.3	   261.3	   252.8	   245.2	   256.7
  0.4376	   218.7	   217.9	   214.4	   206.6	     200	   210.3
  0.5164	   179.3	   177.4	   174.5	   167.3	   161.5	     171
  0.6094	   142.5	   142.1	   139.2	   133.4	   128.2	   136.4
  0.7191	   111.7	   112.2	   109.6	     105	     101	   107.7
  0.8486	   87.18	   87.94	   86.07	   82.86	   79.68	   84.65
   1.001	   67.69	   68.21	    66.9	    64.6	   62.18	    65.9
   1.182	   53.03	   53.33	   52.56	   51.07	    49.2	   51.73
   1.394	   40.74	   41.24	   40.65	   39.78	   38.21	   40.06
   1.645	    31.8	   31.91	   31.62	   31.03	    29.9	   31.21
   1.941	   24.26	   24.03	   23.94	   23.49	   22.87	    23.7
    2.29	   18.59	   18.68	   18.44	   18.15	   17.51	   18.25
   2.701	   14.81	   14.58	   14.47	   14.21	   13.85	   14.37
   3.185	    11.3	   11.18	   11.04	    10.9	   10.54	   10.95
   3.756	   8.964	    8.83	   8.702	   8.559	   8.324	    8.64
   4.428	   6.107	   6.047	   5.911	   5.889	   5.664	   5.879
   5.218	   4.547	   4.491	   4.454	   4.373	   4.265	   4.415
   6.146	   3.477	   3.423	   3.374	    3.37	   3.277	   3.373
   7.232	    2.51	   2.496	   2.451	   2.426	   2.336	   2.434
   8.502	    1.75	   1.736	    1.72	     1.7	    1.67	   1.711
