/*
Absorption coefficient of pure water compiled from data presented
in the following papers:

Segelstein, D. J. (1981). The complex refractive index of water
(Doctoral dissertation, University of Missouri--Kansas City).

Wieliczka, D. M., Weng, S., & Querry, M. R. (1989). Wedge shaped cell
for highly absorbent liquids: infrared optical constants of
water. Applied optics, 28(9), 1714-1719.

Pope, R. M., & Fry, E. S. (1997). Absorption spectrum (380–700 nm) of
pure water. II. Integrating cavity measurements. Applied optics,
36(33), 8710-8723.

Sogandares, F. M., & Fry, E. S. (1997). Absorption spectrum (340–640
nm) of pure water. I. Photothermal measurements. Applied Optics,
36(33), 8699-8709.

Mason, J. D., Cone, M. T., & Fry, E. S. (2016). Ultraviolet (250–550
nm) absorption spectrum of pure water. Applied optics, 55(25),
7163-7172.

Column 1: wavelength [m].
Column 2: absorption coefficient [1/m].
*/

1.00000e-08 2.19283e+06
1.01392e-08 2.26189e+06
1.02804e-08 2.33313e+06
1.04235e-08 2.40661e+06
1.05686e-08 2.48240e+06
1.07157e-08 2.56058e+06
1.08649e-08 2.64122e+06
1.10161e-08 2.72446e+06
1.11695e-08 2.81064e+06
1.13249e-08 2.89953e+06
1.14826e-08 2.99124e+06
1.16424e-08 3.08585e+06
1.18045e-08 3.18345e+06
1.19688e-08 3.28414e+06
1.21355e-08 3.38547e+06
1.23044e-08 3.48954e+06
1.24757e-08 3.59681e+06
1.26493e-08 3.70737e+06
1.28254e-08 3.82134e+06
1.30040e-08 3.93886e+06
1.31850e-08 4.06229e+06
1.33685e-08 4.18959e+06
1.35546e-08 4.32088e+06
1.37433e-08 4.45628e+06
1.39346e-08 4.59593e+06
1.41286e-08 4.73961e+06
1.43253e-08 4.88761e+06
1.45247e-08 5.04024e+06
1.47269e-08 5.19763e+06
1.49319e-08 5.35993e+06
1.51398e-08 5.52730e+06
1.53506e-08 5.69990e+06
1.55642e-08 5.87789e+06
1.57809e-08 6.06144e+06
1.60006e-08 6.25072e+06
1.62233e-08 6.44766e+06
1.64492e-08 6.65081e+06
1.66782e-08 6.86035e+06
1.69103e-08 7.07650e+06
1.71457e-08 7.29946e+06
1.73844e-08 7.52945e+06
1.76264e-08 7.76668e+06
1.78718e-08 8.01138e+06
1.81206e-08 8.26200e+06
1.83728e-08 8.51876e+06
1.86286e-08 8.78351e+06
1.88879e-08 9.05649e+06
1.91509e-08 9.33795e+06
1.94174e-08 9.62815e+06
1.96878e-08 9.92738e+06
1.99618e-08 1.02359e+07
2.02397e-08 1.05607e+07
2.05215e-08 1.08969e+07
2.08071e-08 1.12438e+07
2.10968e-08 1.16018e+07
2.13905e-08 1.19711e+07
2.16882e-08 1.23523e+07
2.19901e-08 1.27452e+07
2.22963e-08 1.31411e+07
2.26066e-08 1.35494e+07
2.29213e-08 1.39703e+07
2.32404e-08 1.44043e+07
2.35640e-08 1.48518e+07
2.38920e-08 1.53132e+07
2.42246e-08 1.57878e+07
2.45618e-08 1.62766e+07
2.49037e-08 1.67806e+07
2.52504e-08 1.73001e+07
2.56019e-08 1.78358e+07
2.59583e-08 1.83880e+07
2.63197e-08 1.89669e+07
2.66860e-08 1.95653e+07
2.70575e-08 2.01826e+07
2.74342e-08 2.08193e+07
2.78161e-08 2.14762e+07
2.82033e-08 2.21515e+07
2.85959e-08 2.28463e+07
2.89940e-08 2.35628e+07
2.93976e-08 2.43018e+07
2.98069e-08 2.50640e+07
3.02218e-08 2.58456e+07
3.06425e-08 2.66479e+07
3.10691e-08 2.74751e+07
3.15016e-08 2.83281e+07
3.19401e-08 2.92074e+07
3.23847e-08 3.01377e+07
3.28355e-08 3.11007e+07
3.32926e-08 3.20945e+07
3.37561e-08 3.31200e+07
3.42260e-08 3.41680e+07
3.47025e-08 3.52408e+07
3.51855e-08 3.63474e+07
3.56754e-08 3.74887e+07
3.61720e-08 3.86517e+07
3.66755e-08 3.98292e+07
3.71861e-08 4.10425e+07
3.77037e-08 4.22929e+07
3.82286e-08 4.35956e+07
3.87608e-08 4.49610e+07
3.93003e-08 4.63692e+07
3.98474e-08 4.78215e+07
4.04021e-08 4.93391e+07
4.09646e-08 5.09119e+07
4.15348e-08 5.25348e+07
4.21130e-08 5.42079e+07
4.26993e-08 5.59289e+07
4.32937e-08 5.77044e+07
4.38963e-08 5.95363e+07
4.45074e-08 6.13311e+07
4.51270e-08 6.31705e+07
4.57552e-08 6.50650e+07
4.63921e-08 6.71003e+07
4.70379e-08 6.92655e+07
4.76927e-08 7.15005e+07
4.83567e-08 7.30098e+07
4.90298e-08 7.39681e+07
4.97124e-08 7.49390e+07
5.04044e-08 7.55213e+07
5.11060e-08 7.58197e+07
5.18175e-08 7.61193e+07
5.25388e-08 7.64475e+07
5.32702e-08 7.67864e+07
5.40118e-08 7.71423e+07
5.47636e-08 7.76727e+07
5.55260e-08 7.82067e+07
5.62990e-08 7.89417e+07
5.70827e-08 7.99699e+07
5.78773e-08 8.10115e+07
5.86830e-08 8.29721e+07
5.94999e-08 8.50595e+07
6.03282e-08 8.73774e+07
6.11680e-08 9.00129e+07
6.20195e-08 9.27190e+07
6.28829e-08 9.54160e+07
6.37582e-08 9.81915e+07
6.46458e-08 9.98295e+07
6.55457e-08 1.01107e+08
6.64582e-08 1.02266e+08
6.73833e-08 1.03253e+08
6.83213e-08 1.03993e+08
6.92724e-08 1.03991e+08
7.02367e-08 1.03770e+08
7.12145e-08 1.02945e+08
7.22058e-08 1.01842e+08
7.32110e-08 9.99802e+07
7.42302e-08 9.83927e+07
7.52635e-08 9.74929e+07
7.63112e-08 9.67720e+07
7.73735e-08 9.65232e+07
7.84506e-08 9.63852e+07
7.95427e-08 9.63904e+07
8.06500e-08 9.63873e+07
8.17727e-08 9.63789e+07
8.29110e-08 9.64765e+07
8.40652e-08 9.65680e+07
8.52355e-08 9.63045e+07
8.64220e-08 9.55761e+07
8.76251e-08 9.42638e+07
8.88449e-08 9.26739e+07
9.00817e-08 9.09859e+07
9.13357e-08 8.89983e+07
9.26071e-08 8.67791e+07
9.38963e-08 8.42809e+07
9.52034e-08 8.10290e+07
9.65287e-08 7.75955e+07
9.78724e-08 7.39957e+07
9.92349e-08 7.02461e+07
1.00616e-07 6.68980e+07
1.02017e-07 6.39839e+07
1.03437e-07 6.07805e+07
1.04877e-07 5.78102e+07
1.06337e-07 5.50366e+07
1.07817e-07 5.23774e+07
1.09318e-07 5.00597e+07
1.10840e-07 4.79469e+07
1.12383e-07 4.59612e+07
1.13947e-07 4.40235e+07
1.15534e-07 4.19465e+07
1.17142e-07 4.02678e+07
1.18773e-07 3.87242e+07
1.20426e-07 3.72281e+07
1.22102e-07 3.58083e+07
1.23802e-07 3.44293e+07
1.25526e-07 3.25399e+07
1.27273e-07 2.94144e+07
1.29045e-07 2.53204e+07
1.30841e-07 2.08062e+07
1.32663e-07 1.65522e+07
1.34509e-07 1.35402e+07
1.36382e-07 1.24014e+07
1.38280e-07 1.32279e+07
1.40205e-07 1.52676e+07
1.42157e-07 1.72948e+07
1.44136e-07 1.91318e+07
1.46142e-07 2.09479e+07
1.48177e-07 2.25417e+07
1.50240e-07 2.31856e+07
1.52331e-07 2.26873e+07
1.54452e-07 2.07096e+07
1.56602e-07 1.79929e+07
1.58782e-07 1.49373e+07
1.60992e-07 1.18427e+07
1.63233e-07 9.01317e+06
1.65506e-07 6.03716e+06
1.67810e-07 3.07933e+06
1.70146e-07 2.67170e+05
1.72514e-07 1.34308e+05
1.74916e-07 6.24973e+04
1.77351e-07 1.66145e+04
1.79819e-07 4.37279e+03
1.82323e-07 6.25137e+02
1.84861e-07 8.75615e+01
1.87434e-07 4.56295e+01
1.90043e-07 2.42712e+01
1.92689e-07 1.65280e+01
1.95371e-07 1.14443e+01
1.98091e-07 8.50190e+00
2.00848e-07 6.33842e+00
2.03644e-07 4.76361e+00
2.06479e-07 3.47539e+00
2.09354e-07 2.45684e+00
2.12268e-07 1.65598e+00
