/*
Parameterization of the chlorophyll-specific absorption coefficient
[m^2/mg], Table 2 in:

Bricaud, A., Babin, M., Morel, A. and Claustre, H., 1995. Variability
in the chlorophyll‐specific absorption coefficients of natural
phytoplankton: Analysis and parameterization. Journal of Geophysical
Research: Oceans, 100(C7), pp.13321-13332.

a_ph_star = A*<chl>^(-B) [m^2/mg], where <chl> is the chlorophyll
concentration (including divinyl chl a) [mg/m^3]

Column 1: wavelength [nm]
Column 2: A
Column 3: B
*/

400 0.0263 0.282 
404 0.0280 0.282 
408 0.0301 0.282 
412 0.0323 0.286 
416 0.0342 0.293 
420 0.0356 0.299 
424 0.0362 0.313 
428 0.0376 0.317 
432 0.0391 0.318 
436 0.0399 0.328 
440 0.0403 0.332 
444 0.0390 0.348 
448 0.0375 0.360 
452 0.0365 0.362 
456 0.0354 0.367 
460 0.0350 0.365 
464 0.0343 0.368 
468 0.0335 0.369 
472 0.0325 0.371 
476 0.0312 0.378 
480 0.0301 0.377 
484 0.0290 0.376 
488 0.0279 0.369 
492 0.0267 0.356 
496 0.0249 0.341 
500 0.0230 0.321 
504 0.0209 0.300 
508 0.0189 0.275 
512 0.0171 0.249 
516 0.0156 0.224 
520 0.0143 0.196 
524 0.0131 0.173 
528 0.0121 0.151 
532 0.0113 0.129 
536 0.0104 0.109 
540 0.0097 0.090 
544 0.0090 0.073 
548 0.0083 0.059 
552 0.0076 0.044 
556 0.0068 0.027 
560 0.0062 0.016 
564 0.0057 0.010 
568 0.0054 0.007 
572 0.0053 0.011 
576 0.0052 0.022 
580 0.0053 0.035 
584 0.0055 0.050 
588 0.0056 0.065 
592 0.0057 0.081 
596 0.0056 0.093 
600 0.0054 0.092 
604 0.0055 0.086 
608 0.0056 0.076 
612 0.0059 0.069 
616 0.0062 0.063 
620 0.0065 0.064 
624 0.0067 0.071 
628 0.0069 0.076 
632 0.0073 0.080 
636 0.0075 0.088 
640 0.0077 0.098 
644 0.0079 0.113 
648 0.0081 0.123 
652 0.0085 0.125 
656 0.0095 0.122 
660 0.0115 0.121 
664 0.0144 0.131 
668 0.0176 0.143 
672 0.0197 0.153 
675 0.0201 0.158
678 0.0193 0.158 
682 0.0166 0.148 
686 0.0124 0.124 
690 0.0083 0.086 
694 0.0054 0.042 
698 0.0036 -0.016
